Obs,RankO,Cur,RankC,Fut,RankF,ProbO,ProbC,ProbF,GaussO,GaussC,GaussF,GaussOR,GaussFC,Ranks,Value
0,17,3.22,12,22.73,1,0.5806,0.6129,0.9677,0.2032,0.2865,1.849,0.2087,0.1822,30,0
0,17,0,28,15.15,3,0.5806,0.2903,0.9032,0.2032,-0.5521,1.3003,0.1609,0.2293,29,0
21.44,3,3.92,9,2.96,12,0.9032,0.7097,0.6129,1.3003,0.5521,0.2865,1.2881,1.2362,4,12.07
12.5,4,6.48,6,0,23,0.871,0.8065,0.4516,1.131,0.8647,-0.1213,0.8559,1.3503,3,15.15
26.32,2,3.44,11,0,21,0.9355,0.6452,0.4516,1.5182,0.3718,-0.1213,1.2935,1.788,1,22.73
0,17,1.02,20,12.07,4,0.5806,0.3548,0.871,0.2032,-0.3718,1.131,-0.1486,0.7428,10,4.39
2.62,7,5.45,7,0.14,17,0.7742,0.7742,0.4516,0.7525,0.7525,-0.1213,0.7252,0.9955,7,5.27
0,17,1.57,15,1.78,14,0.5806,0.5161,0.5484,0.2032,0.0403,0.1213,0.0316,0.5134,13,2.01
1.03,10,0,29,9.09,5,0.6774,0.2903,0.8387,0.4601,-0.5521,0.9891,0.4248,0.6213,11,3.74
0.08,14,1.36,18,1.58,15,0.5806,0.4194,0.5161,0.2032,-0.2032,0.0403,0.1004,0.3909,17,0.14
0,17,10.57,3,5.55,6,0.5806,0.9032,0.8065,0.2032,1.3003,0.8647,0.1609,0.3312,20,0.02
0,17,12.9,2,0.05,19,0.5806,0.9355,0.4516,0.2032,1.5182,-0.1213,0.1609,0.3021,24,0
5.74,5,1,21,0,27,0.8387,0.3226,0.4516,0.9891,-0.4601,-0.1213,0.9683,0.9926,8,5.14
3.78,6,0.25,23,3.74,11,0.8065,0.2903,0.6452,0.8647,-0.5521,0.3718,0.6556,1.0566,6,5.55
1.17,9,9.25,4,0,25,0.7097,0.871,0.4516,0.5521,1.131,-0.1213,0.3636,0.833,9,4.45
0,17,0.29,22,4.45,9,0.5806,0.2903,0.7097,0.2032,-0.5521,0.5521,0.0788,0.4753,15,1.58
0,17,1.37,17,0.02,20,0.5806,0.4516,0.4516,0.2032,-0.1213,-0.1213,0.1609,0.3724,18,0.12
0,17,0,26,0,28,0.5806,0.2903,0.4516,0.2032,-0.5521,-0.1213,0.1609,0.3222,21,0
0,17,5.03,8,5.14,8,0.5806,0.7419,0.7419,0.2032,0.649,0.649,0.1609,0.2976,25,0
28.75,1,3.82,10,5.27,7,0.9677,0.6774,0.7742,1.849,0.4601,0.7525,1.8517,1.7615,2,15.84
1.25,8,1.42,16,15.84,2,0.7419,0.4839,0.9355,0.649,-0.0403,1.5182,0.2315,1.0617,5,9.09
0,17,3.08,13,0,30,0.5806,0.5806,0.4516,0.2032,0.2032,-0.1213,0.056,0.5669,12,2.96
0.33,12,7.45,5,0,26,0.6129,0.8387,0.4516,0.2865,0.9891,-0.1213,0.2465,0.4918,14,1.78
0.09,13,0,27,4.39,10,0.5806,0.2903,0.6774,0.2032,-0.5521,0.4601,0.1413,0.3633,19,0.05
0,16,0,30,0,24,0.5806,0.2903,0.4516,0.2032,-0.5521,-0.1213,0.1609,0.3177,22,0
0,17,20.12,1,0.12,18,0.5806,0.9677,0.4516,0.2032,1.849,-0.1213,0.1609,0.2955,26,0
0,17,0,24,2.01,13,0.5806,0.2903,0.5806,0.2032,-0.5521,0.2032,0.1609,0.2846,27,0
0.05,15,0,25,0,29,0.5806,0.2903,0.4516,0.2032,-0.5521,-0.1213,0.1609,0.2793,28,0
0.69,11,1.03,19,0,22,0.6452,0.3871,0.4516,0.3718,-0.2865,-0.1213,0.3342,0.428,16,1.1
0,17,2.76,14,1.1,16,0.5806,0.5484,0.4839,0.2032,0.1213,-0.0403,0.1212,0.3147,23,0
